year,value
1998,73.8
1999,72.4
2000,71.7
2001,79.1
2002,85.8
2003,97.1
2004,96.5
2005,98.3
2006,85.9
2007,76.3
2008,66.8
2009,69.5
2010,69.6
2011,72.8
2012,69.9
2013,79.8
2014,80.9
2015,83.8
2016,91.6
2017,97.8
2018,87.9
2019,80.1
2020,86.2
2021,89.9
2022,88.5
2023,95.9
2024,90.9
2025,86.8
2026,87.0
2027,84.9
2028,82.0
2029,78.0
2030,74.5
2031,70.9
