year,value
2000,8.98
2001,9.26
2002,10.01
2003,10.91
2004,10.32
2005,11.049
2006,10.49
2007,8.8
2008,8.517
2009,9.087
2010,8.757
2011,11.849
2012,12.597
2013,13.154
2014,13.105
2015,13.052
2016,12.45
2017,11.767
2018,9.855
2019,7.851
2020,7.974
2021,7.441
2022,6.546
2023,6.753
2024,6.817
2025,6.781
