year,value
2000,13.2158333333333
2001,13.2916666666667
2002,13.7916666666667
2003,13.5333333333333
2004,13.375
2005,13.1416666666667
2006,12.6
2007,12.5083333333333
2008,12.325
2009,11.975
2010,11.0083333333333
2011,11.0333333333333
2012,12.0
2013,12.2916666666667
2014,11.7083333333333
2015,11.625
2016,13.6
2017,18.175
2018,18.3166666666667
2019,16.1166666666667
2020,11.3666666666667
2021,9.425
2022,10.5833333333333
2023,17.7583333333333
2024,24.2916666666667
