year,value
2000,9.45666666666667
2001,9.45833333333333
2002,9.33333333333333
2003,8.225
2004,7.725
2005,7.225
2006,6.01666666666666
2007,6.1
2008,6.58333333333333
2009,6.49166666666667
2010,6.23333333333333
2011,6.74166666666667
2012,7.64166666666667
2013,7.68333333333333
2014,6.91666666666667
2015,6.90833333333333
2016,7.85833333333333
2017,12.0916666666667
2018,12.3166666666667
2019,10.95
2020,7.78333333333333
2021,7.4
2022,8.425
2023,12.65
2024,19.1583333333333
