year,value
1990,8.0
1991,8.8
1992,9.0
1993,10.9
1994,11.1
1995,11.2
1996,9.5
1997,8.7
1998,8.0
1999,7.7
2000,9.0
2001,8.8
2002,10.1
2003,11.3
2004,10.5
2005,11.5
2006,10.9
2007,9.2
2008,8.7
2009,9.4
2010,9.2
2011,10.4
2012,12.4
2013,13.0
2014,13.4
2015,12.9
2016,12.7
2017,12.2
2018,10.9
2019,8.6
2020,8.3
2021,7.3
2022,7.3
2023,7.2
2024,7.4
2025,7.3
2026,7.4
2027,7.1
2028,6.5
2029,6.4
2030,7.5
2031,9.5
