year,value
1999,2.1
2000,1.3
2001,-1.1
2002,-6.8
2003,-5.7
2004,-5.8
2005,-6.7
2006,-7.4
2007,-4.9
2008,-6.0
2009,-6.2
2010,-7.4
2011,-9.6
2012,-9.5
2013,-12.3
2014,-10.7
2015,-10.4
2016,-11.8
2017,-9.9
2018,-9.0
2019,-7.6
2020,-7.5
2021,-7.0
2022,-5.7
2023,-5.8
2024,-7.1
2025,-6.6
2026,-12.1
2027,-8.9
2028,-7.0
2029,-4.4
2030,-3.6
2031,-3.1
