year,value
1980,3.4
1981,2.2
1982,7.3
1983,8.9
1984,8.0
1985,7.4
1986,4.8
1987,4.3
1988,4.0
1989,3.0
1990,2.3
1991,2.1
1992,0.3
1993,2.9
1994,4.2
1995,4.5
1996,4.9
1997,5.9
1998,7.5
1999,6.1
2000,5.4
2001,3.5
2002,3.2
2003,3.2
2004,4.1
2005,4.5
2006,6.8
2007,7.1
2008,7.2
2009,4.7
2010,5.1
2011,1.8
2012,2.2
2013,3.3
2014,2.9
2015,4.4
2016,4.3
2017,4.2
2018,5.3
2019,5.5
2020,3.6
2021,3.3
2022,6.7
2023,3.8
2024,2.4
2025,4.4
2026,4.2
2027,4.8
2028,5.5
2029,5.2
2030,4.8
2031,4.8
